 table_schema |         table_name          |          column_name          |          data_type          | is_nullable |                        column_default                         |   primary_key   |   foreign_key    | foreign_table_schema |   foreign_table_name   | foreign_column_name 
 public       | oc_activity                 | object_type                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_activity                 | object_id                     | bigint                      | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_activity_mq              | mail_id                       | bigint                      | NO          | nextval('oc_activity_mq_mail_id_seq'::regclass)               | mail_id         |                  |                      |                        | 
 public       | oc_activity_mq              | amq_timestamp                 | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_activity_mq              | amq_latest_send               | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_activity_mq              | amq_type                      | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity_mq              | amq_affecteduser              | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity_mq              | amq_appid                     | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity_mq              | amq_subject                   | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity_mq              | amq_subjectparams             | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_activity_mq              | object_type                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_activity_mq              | object_id                     | bigint                      | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_addressbookchanges       | id                            | bigint                      | NO          | nextval('oc_addressbookchanges_id_seq'::regclass)             | id              |                  |                      |                        | 
 public       | oc_addressbookchanges       | uri                           | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_addressbookchanges       | synctoken                     | integer                     | NO          | 1                                                             |                 |                  |                      |                        | 
 public       | oc_addressbookchanges       | addressbookid                 | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_addressbookchanges       | operation                     | smallint                    | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_addressbookchanges       | created_at                    | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_addressbooks             | id                            | bigint                      | NO          | nextval('oc_addressbooks_id_seq'::regclass)                   | id              |                  |                      |                        | 
 public       | oc_addressbooks             | principaluri                  | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_addressbooks             | displayname                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_addressbooks             | uri                           | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_addressbooks             | description                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_addressbooks             | synctoken                     | integer                     | NO          | 1                                                             |                 |                  |                      |                        | 
 public       | oc_appconfig                | appid                         | character varying           | NO          | ''::character varying                                         | appid           |                  |                      |                        | 
 public       | oc_appconfig                | configkey                     | character varying           | NO          | ''::character varying                                         | configkey       |                  |                      |                        | 
 public       | oc_appconfig                | configvalue                   | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_appconfig                | type                          | integer                     | NO          | 2                                                             |                 |                  |                      |                        | 
 public       | oc_appconfig                | lazy                          | smallint                    | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_appconfig_ex             | id                            | bigint                      | NO          | nextval('oc_appconfig_ex_id_seq'::regclass)                   | id              |                  |                      |                        | 
 public       | oc_appconfig_ex             | appid                         | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_appconfig_ex             | configkey                     | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_appconfig_ex             | configvalue                   | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_appconfig_ex             | sensitive                     | smallint                    | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_authorized_groups        | id                            | integer                     | NO          | nextval('oc_authorized_groups_id_seq'::regclass)              | id              |                  |                      |                        | 
 public       | oc_authorized_groups        | group_id                      | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_authorized_groups        | class                         | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_authtoken                | id                            | bigint                      | NO          | nextval('oc_authtoken_id_seq'::regclass)                      | id              |                  |                      |                        | 
 public       | oc_authtoken                | uid                           | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_authtoken                | login_name                    | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_authtoken                | password                      | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_authtoken                | name                          | text                        | NO          | ''::text                                                      |                 |                  |                      |                        | 
 public       | oc_authtoken                | token                         | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_authtoken                | type                          | smallint                    | YES         | 0                                                             |                 |                  |                      |                        | 
 public       | oc_authtoken                | remember                      | smallint                    | YES         | 0                                                             |                 |                  |                      |                        | 
 public       | oc_authtoken                | last_activity                 | integer                     | YES         | 0                                                             |                 |                  |                      |                        | 
 public       | oc_authtoken                | last_check                    | integer                     | YES         | 0                                                             |                 |                  |                      |                        | 
 public       | oc_authtoken                | scope                         | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_authtoken                | expires                       | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_authtoken                | private_key                   | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_authtoken                | public_key                    | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_authtoken                | version                       | smallint                    | NO          | 1                                                             |                 |                  |                      |                        | 
 public       | oc_authtoken                | password_invalid              | boolean                     | YES         | false                                                         |                 |                  |                      |                        | 
 public       | oc_authtoken                | password_hash                 | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_bruteforce_attempts      | id                            | bigint                      | NO          | nextval('oc_bruteforce_attempts_id_seq'::regclass)            | id              |                  |                      |                        | 
 public       | oc_bruteforce_attempts      | action                        | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_bruteforce_attempts      | occurred                      | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_bruteforce_attempts      | ip                            | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_bruteforce_attempts      | subnet                        | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_bruteforce_attempts      | metadata                      | character varying           | NO          | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | id                            | bigint                      | NO          | nextval('oc_calendar_appt_bookings_id_seq'::regclass)         | id              |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | appt_config_id                | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | created_at                    | integer                     | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | token                         | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | display_name                  | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | description                   | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | email                         | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | start                         | integer                     | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | end                           | integer                     | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | timezone                      | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_bookings   | confirmed                     | boolean                     | YES         | false                                                         |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | id                            | bigint                      | NO          | nextval('oc_calendar_appt_configs_id_seq'::regclass)          | id              |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | token                         | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | name                          | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | description                   | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | location                      | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | visibility                    | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | user_id                       | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | target_calendar_uri           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | calendar_freebusy_uris        | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | availability                  | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | start                         | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | end                           | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | length                        | integer                     | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | increment                     | integer                     | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | preparation_duration          | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | followup_duration             | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | time_before_next_slot         | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | daily_max                     | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | future_limit                  | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_appt_configs    | create_talk_room              | boolean                     | YES         | false                                                         |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | id                            | bigint                      | NO          | nextval('oc_calendar_invitations_id_seq'::regclass)           | id              |                  |                      |                        | 
 public       | oc_calendar_invitations     | uid                           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | recurrenceid                  | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | attendee                      | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | organizer                     | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | sequence                      | bigint                      | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | token                         | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_invitations     | expiration                    | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | id                            | bigint                      | NO          | nextval('oc_calendar_reminders_id_seq'::regclass)             | id              |                  |                      |                        | 
 public       | oc_calendar_reminders       | calendar_id                   | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | object_id                     | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | is_recurring                  | smallint                    | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | uid                           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | recurrence_id                 | bigint                      | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | is_recurrence_exception       | smallint                    | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | event_hash                    | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | alarm_hash                    | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | type                          | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | is_relative                   | smallint                    | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | notification_date             | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_reminders       | is_repeat_based               | smallint                    | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_resources       | id                            | bigint                      | NO          | nextval('oc_calendar_resources_id_seq'::regclass)             | id              |                  |                      |                        | 
 public       | oc_calendar_resources       | backend_id                    | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_resources       | resource_id                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_resources       | email                         | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_resources       | displayname                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_resources       | group_restrictions            | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_resources_md    | id                            | bigint                      | NO          | nextval('oc_calendar_resources_md_id_seq'::regclass)          | id              |                  |                      |                        | 
 public       | oc_calendar_resources_md    | resource_id                   | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_resources_md    | key                           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_resources_md    | value                         | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_rooms           | id                            | bigint                      | NO          | nextval('oc_calendar_rooms_id_seq'::regclass)                 | id              |                  |                      |                        | 
 public       | oc_calendar_rooms           | backend_id                    | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_rooms           | resource_id                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_rooms           | email                         | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_rooms           | displayname                   | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_rooms           | group_restrictions            | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendar_rooms_md        | id                            | bigint                      | NO          | nextval('oc_calendar_rooms_md_id_seq'::regclass)              | id              |                  |                      |                        | 
 public       | oc_calendar_rooms_md        | room_id                       | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_rooms_md        | key                           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendar_rooms_md        | value                         | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendarchanges          | id                            | bigint                      | NO          | nextval('oc_calendarchanges_id_seq'::regclass)                | id              |                  |                      |                        | 
 public       | oc_calendarchanges          | uri                           | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendarchanges          | synctoken                     | integer                     | NO          | 1                                                             |                 |                  |                      |                        | 
 public       | oc_calendarchanges          | calendarid                    | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendarchanges          | operation                     | smallint                    | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendarchanges          | calendartype                  | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_calendarchanges          | created_at                    | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_calendarobjects          | id                            | bigint                      | NO          | nextval('oc_calendarobjects_id_seq'::regclass)                | id              |                  |                      |                        | 
 public       | oc_calendarobjects          | calendardata                  | bytea                       | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendarobjects          | uri                           | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_calendarobjects          | calendarid                    | bigint                      | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_calendarobjects          | lastmodified                  | integer                     | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_calendarobjects          | etag                          | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
